DELTA
DMOLAR
D
HMOLAR
H
P
Q
SMOLAR
S
TAU
T
UMOLAR
U
ACENTRIC
ALPHA0
ALPHAR
A
BVIRIAL
CONDUCTIVITY
CP0MASS
CP0MOLAR
CPMOLAR
CVIRIA
CVMASS
CVMOLAR
C
DALPHA0_DDELTA_CONSTTAU
DALPHA0_DTAU_CONSTDELTA
DALPHAR_DDELTA_CONSTTAU
DALPHAR_DTAU_CONSTDELTA
DBVIRIAL_DT
DCVIRIAL_DT
DIPOLE_MOMENT
FH
FRACTION_MAX
FRACTION_MIN
FUNDAMENTAL_DERIVATIVE_OF_GAS_DYNAMICS
GAS_CONSTANT
GMOLAR_RESIDUAL
GMOLAR
GWP100
GWP20
GWP500
G
HELMHOLTZMASS
HELMHOLTZMOLAR
HH
HMOLAR_RESIDUAL
ISENTROPIC_EXPANSION_COEFFICIENT
ISOBARIC_EXPANSION_COEFFICIENT
ISOTHERMAL_COMPRESSIBILITY
SURFACE_TENSION
M
ODP
PCRIT
PHASE
PH
PIP
PMAX
PMIN
PRANDTL
PTRIPLE
P_REDUCING
RHOCRIT
RHOMASS_REDUCING
RHOMOLAR_CRITICAL
RHOMOLAR_REDUCING
SMOLAR_RESIDUAL
TCRIT
TMAX
TMIN
TTRIPLE
T_FREEZE
T_REDUCING
V
Z
